Simulation Log Export
Generated: 2026-04-24T14:01:13
Rows: 2035

t_s	x_m	z_m	vx	vz	mach	miss_distance_m	rcs_dbsm	guidance_phase
1.8800000000000001	-18393.50010327299	3.8815642068559097	849.9999228849057	-0.18438293929145036	2.4978692964329916	18393.500512834533	9.000045011414983	cruise
1.8900000000000001	-18385.00010404346	3.880729877462906	849.9999230268146	0.017517060695399156	2.4978692386121044	18385.000513618226	9.001769847734842	cruise
1.9000000000000001	-18376.50010481245	3.8799396090541562	849.9999231696096	-0.1755707424499537	2.4978692917864596	18376.500514409792	9.000035004807264	cruise
1.9100000000000001	-18368.000105580068	3.8791934016295735	849.9999233125859	0.02632925753819046	2.497869240119804	18368.000515209347	9.001849889342113	cruise
1.92	-18359.500106346197	3.878490055070625	849.9999234563273	-0.16699856933261187	2.497869287552798	18359.500516016527	9.000112937598256	cruise
1.93	-18351.00010711094	3.8778295693772216	849.9999236001473	0.03490143065682799	2.4978692418721753	18351.000516831442	9.001927846965568	cruise
1.94	-18342.50010787419	3.877210761803543	849.9999237446195	-0.15866294539739506	2.49786928370747	18342.50051765375	9.000188816599728	cruise
1.95	-18334.000108636046	3.876633632349497	849.9999238890754	0.043237054593333546	2.4978692438471533	18334.000518483543	9.002003750106748	cruise
1.96	-18325.50010939641	3.876097016134206	849.9999240340783	-0.15056029765652623	2.4978692802269657	18325.5005193205	9.000262672048077	cruise
1.97	-18317.000110155364	3.875600913157575	849.9999241789772	0.051339702335477355	2.497869246023766	18317.000520164704	9.002077629151579	cruise
1.98	-18308.50011091283	3.8751441768369674	849.9999243243253	-0.14268696646197218	2.4978692770887894	18308.50052101585	9.000334535185498	cruise
